sign,tokens,coverage,precision,decomposes,n_parts,parts
621,1,0.949,0.724,True,2,600@1.0 + 021m@0.65
515,3,0.949,0.857,True,1,020m@1.0
725,1,0.949,0.617,False,2,254@1.0 + 430@1.0
553,1,0.949,0.657,False,2,020m@1.0 + 027m@1.0
684,4,0.949,0.655,False,2,254m@1.0 + 254@0.8
103,3,0.949,0.725,True,1,011m@1.0
635,0,0.949,0.569,False,2,254m@1.0 + 007m@1.0
255,5,0.949,0.778,True,2,254@1.0 + 430@0.8
157,1,0.948,0.911,True,1,070@1.0
277,0,0.948,0.887,True,2,607@0.8 + 071@0.5
373,1,0.948,0.912,True,1,306@1.0
500,6,0.947,0.972,True,1,300@1.0
292,2,0.947,0.924,True,1,306@1.0
178,3,0.947,0.768,True,2,020@1.0 + 430m@0.65
692,2,0.946,0.800,True,1,200@1.0
778,3,0.946,0.944,True,1,200@1.0
496,1,0.946,0.685,False,2,607m@1.0 + 205@0.65
029,16,0.945,0.865,True,1,070@1.0
330,13,0.945,0.955,True,1,300@1.0
127,2,0.945,0.624,False,2,254m@1.0 + 290m@0.8
316,8,0.945,0.760,True,1,254@1.0
529,2,0.945,0.717,True,2,430m@0.8 + 430@0.8
281,2,0.945,0.970,True,1,280@1.0
609,3,0.945,0.815,True,2,607@1.0 + 063@0.8
165,4,0.945,0.783,True,1,020m@1.0
108,0,0.945,0.995,True,2,400@0.5 + 004@0.4
503,3,0.945,0.953,True,1,300@1.0
154,1,0.945,0.865,True,2,400@0.8 + 430m@0.4
730,30,0.945,0.979,True,2,739m@1.0 + 053@0.4
122,1,0.944,0.692,False,1,070@1.0
222,8,0.944,0.945,True,2,205@1.0 + 430m@0.4
447,1,0.944,0.695,False,1,670@1.0
445,13,0.944,0.757,True,1,381@1.0
225,4,0.944,0.928,True,2,205@1.0 + 400@0.4
384,22,0.943,0.923,True,1,381@1.0
517,3,0.943,0.856,True,2,739m@1.0 + 430m@0.65
038,4,0.943,0.709,True,2,381@1.0 + 067@0.8
504,3,0.943,0.948,True,1,306@1.0
590,8,0.943,0.984,True,1,200@1.0
187,2,0.943,0.846,True,2,254@1.0 + 093@0.5
458,1,0.943,0.635,False,2,020@1.0 + 027m@1.0
772,2,0.942,0.559,False,2,020@1.0 + 755@1.0
089,6,0.942,0.964,True,1,009m@1.0
206,29,0.942,0.990,True,1,205@1.0
286,4,0.942,0.946,True,1,306@1.0
191,4,0.942,0.886,True,2,290@1.0 + 430m@0.5
236,1,0.942,0.949,True,1,205@1.0
121,1,0.942,0.852,True,2,073@1.0 + 004@0.5
202,20,0.942,0.832,True,2,430@1.0 + 071@0.5
182,2,0.941,0.909,True,2,381@0.8 + 430m@0.5
085,5,0.941,0.846,True,1,070@1.0
100,4,0.940,0.830,True,1,020m@1.0
203,19,0.939,0.989,True,1,205@1.0
104,1,0.939,0.659,False,2,020m@1.0 + 007m@0.8
118,1,0.939,0.816,True,1,008m@1.0
594,3,0.939,0.838,True,2,280@1.0 + 021@0.65
