sign,nn1,s1,nn2,s2,nn3,s3
331,320,0.421,220,0.417,191,0.412
335,301,0.427,361,0.421,579,0.418
336,326,0.455,396,0.453,576,0.442
340,647,0.416,240,0.403,341,0.399
341,245,0.431,255,0.403,340,0.399
343,344,0.449,346,0.443,246,0.414
344,343,0.449,346,0.436,246,0.431
346,343,0.443,344,0.436,356,0.424
349,410,0.381,308,0.373,299,0.371
354,254,0.446,253,0.439,256,0.437
356,256,0.440,253,0.437,316,0.432
360,390,0.417,330,0.401,370,0.397
361,285,0.425,405,0.425,335,0.421
365,575,0.383,371,0.381,295,0.377
366,306,0.419,206,0.411,183,0.409
370,390,0.413,379,0.413,230,0.407
371,375,0.451,301,0.423,279,0.422
372,252,0.406,354,0.403,216,0.403
373,374,0.453,396,0.430,576,0.427
374,373,0.453,396,0.433,336,0.433
375,371,0.451,301,0.403,275,0.402
376,582,0.437,506,0.430,531,0.427
378,311,0.380,315,0.374,255,0.371
379,370,0.413,380,0.365,432,0.358
380,432,0.406,370,0.403,110,0.374
381,385,0.411,375,0.398,741,0.394
382,384,0.442,385,0.421,741,0.410
383,387,0.389,737,0.383,382,0.359
384,382,0.442,456,0.397,446,0.385
385,741,0.429,382,0.421,745,0.413
386,743,0.388,586,0.386,183,0.385
387,385,0.393,383,0.389,737,0.379
390,181,0.420,360,0.417,290,0.415
391,291,0.391,594,0.391,578,0.383
392,151,0.411,149,0.386,150,0.386
393,285,0.439,284,0.421,242,0.420
394,393,0.409,335,0.407,361,0.396
395,295,0.424,301,0.411,401,0.402
396,336,0.453,576,0.452,296,0.451
397,404,0.435,402,0.426,566,0.412
400,690,0.420,300,0.406,600,0.403
401,605,0.442,405,0.406,361,0.404
402,404,0.460,406,0.440,397,0.426
403,604,0.425,402,0.413,404,0.413
404,402,0.460,397,0.435,406,0.428
405,361,0.425,393,0.419,285,0.416
406,402,0.440,396,0.439,306,0.434
407,607,0.429,307,0.429,697,0.411
408,608,0.426,618,0.420,555,0.397
409,410,0.455,609,0.434,660,0.388
410,409,0.455,609,0.443,660,0.385
415,533,0.391,595,0.390,509,0.376
420,587,0.424,598,0.405,739,0.387
421,503,0.421,300,0.404,593,0.403
