side,line,position,head,print_ink_width,tracing_width,similarity,local_score
Ev,Ev03,2,001,13,5,0.3324,0.592
Ev,Ev03,3,007,34,14,0.3117,0.606
Ev,Ev03,4,326,64,31,0.341,0.411
Ev,Ev03,5,380,63,22,0.2814,0.344
Ev,Ev03,6,070,41,15,0.3285,0.279
Ev,Ev03,7,040,82,38,0.2741,0.175
Ev,Ev03,8,290,72,32,0.3496,0.568
Ev,Ev03,9,062,39,17,0.41,0.647
Ev,Ev03,10,009,32,14,0.4311,0.607
Ev,Ev03,11,062,49,21,0.4148,0.691
Ev,Ev03,12,001,17,7,0.4116,0.683
Ev,Ev03,13,006,20,12,0.2586,0.637
Ev,Ev03,14,001,26,9,0.2905,0.505
Ev,Ev03,15,006,19,12,0.2626,0.395
Ev,Ev03,16,670,19,7,0.2618,0.608
Ev,Ev03,17,091,87,32,0.3304,0.44
Ev,Ev03,18,380,55,24,0.29,0.512
Ev,Ev03,19,007,53,20,0.349,0.306
Ev,Ev03,20,067,46,15,0.3134,0.547
Ev,Ev03,21,067,56,23,0.3721,0.466
Ev,Ev03,22,001,73,28,0.3734,0.44
Ev,Ev03,23,670,53,24,0.3881,0.594
Ev,Ev03,24,580,34,13,0.4007,0.5
Ev,Ev03,25,380,56,21,0.3513,0.348
Ev,Ev03,26,245,73,35,0.4013,0.577
Ev,Ev03,27,004,37,18,0.3481,0.504
Ev,Ev03,28,380,57,23,0.3803,0.674
Ev,Ev03,29,022,50,20,0.4082,0.667
Ev,Ev03,30,063,53,21,0.4138,0.599
Ev,Ev03,31,380,55,23,0.3854,0.598
Ev,Ev03,32,002,29,9,0.3339,0.532
Ev,Ev03,33,760,65,29,0.2919,0.465
Ev,Ev03,34,050,26,10,0.3177,0.576
Ev,Ev03,35,002,26,9,0.3705,0.688
Ev,Ev03,36,760,66,31,0.3793,0.467
Ev,Ev03,37,050,17,11,0.3436,0.228
Ev,Ev03,38,002,23,9,0.1296,0.488
Ev,Ev04,0,380,44,22,0.2922,0.228
Ev,Ev04,1,088,23,11,0.1896,0.28
Ev,Ev04,2,001,13,6,0.3777,0.205
Ev,Ev04,3,047,31,12,0.3148,0.418
Ev,Ev04,4,001,38,15,0.3354,0.562
Ev,Ev04,5,380,62,22,0.3115,0.59
Ev,Ev04,6,280,54,20,0.3133,0.556
Ev,Ev04,7,001,13,5,0.3953,0.773
Ev,Ev04,8,280,49,18,0.3543,0.597
Ev,Ev04,9,002,27,9,0.3437,0.618
Ev,Ev04,10,001,14,5,0.3848,0.528
Ev,Ev04,11,380,51,22,0.4,0.572
Ev,Ev04,12,001,21,8,0.3721,0.693
Ev,Ev04,13,057,44,20,0.395,0.676
Ev,Ev04,14,001,15,5,0.3816,0.701
Ev,Ev04,15,001,21,8,0.3537,0.591
Ev,Ev04,16,163,34,15,0.3845,0.619
Ev,Ev04,17,200,48,21,0.3967,0.637
Ev,Ev04,18,001,37,15,0.3973,0.652
Ev,Ev04,19,522,42,19,0.3926,0.556
Ev,Ev04,20,380,51,23,0.4335,0.573
Ev,Ev04,21,607,64,26,0.3619,0.603
Ev,Ev04,22,607,62,29,0.4092,0.655
Ev,Ev04,23,650,43,16,0.3852,0.532
Ev,Ev04,24,380,51,23,0.4013,0.387
Ev,Ev04,25,200,86,39,0.3951,0.385
Ev,Ev04,26,380,52,23,0.3676,0.349
Ev,Ev04,27,376,71,28,0.3827,0.476
Ev,Ev04,28,001,14,6,0.4464,0.553
Ev,Ev04,29,001,18,7,0.3205,0.375
Ev,Ev04,30,380,50,24,0.2755,0.133
Ev,Ev04,31,405,81,29,0.3067,0.397
Ev,Ev04,32,522,57,19,0.31,0.531
Ev,Ev04,33,405,60,25,0.3939,0.475
Ev,Ev04,34,022,14,9,0.3344,0.415
Ev,Ev04,35,010,45,14,0.3422,0.532
Ev,Ev04,36,010,40,20,0.3762,0.552
Ev,Ev04,37,430,30,12,0.3633,0.644
Ev,Ev04,38,430,29,11,0.3229,0.593
Ev,Ev04,39,407,60,28,0.375,0.511
Ev,Ev04,40,405,60,24,0.3509,0.363
Ev,Ev04,41,407,50,25,0.2484,0.377
Ev,Ev05,0,022,17,7,0.1789,0.297
Ev,Ev05,1,205,44,25,0.2738,0.311
Ev,Ev05,2,308,70,21,0.2115,0.265
Ev,Ev05,3,205,56,22,0.2577,0.334
Ev,Ev05,4,002,14,10,0.2689,0.474
Ev,Ev05,5,001,17,5,0.3093,0.464
Ev,Ev05,6,007,42,17,0.3046,0.474
Ev,Ev05,7,292,56,25,0.3606,0.479
Ev,Ev05,8,001,46,16,0.3142,0.488
Ev,Ev05,9,380,62,21,0.3486,0.444
Ev,Ev05,10,088,21,9,0.3227,0.455
Ev,Ev05,11,047,55,23,0.3559,0.406
Ev,Ev05,12,001,41,15,0.3201,0.366
Ev,Ev05,13,380,64,19,0.2463,0.386
Ev,Ev05,14,207,82,25,0.2488,0.303
Ev,Ev05,15,040,48,18,0.2408,0.306
Ev,Ev05,16,073,27,10,0.3325,0.3
Ev,Ev05,17,053,63,21,0.2307,0.36
Ev,Ev05,18,380,120,36,0.2586,0.299
Ev,Ev05,19,028,27,8,0.3196,0.348
Ev,Ev05,20,019,30,22,0.2243,0.39
Ev,Ev05,21,380,58,22,0.3307,0.476
Ev,Ev05,22,172,58,21,0.2652,0.302
Ev,Ev05,23,631,39,13,0.277,0.425
Ev,Ev05,24,009,40,19,0.3361,0.439
Ev,Ev05,25,380,43,17,0.2539,0.369
Ev,Ev05,26,091,40,18,0.3143,0.37
Ev,Ev05,27,774,57,25,0.3013,0.431
Ev,Ev05,28,581,66,21,0.2462,0.382
Ev,Ev05,29,380,23,7,0.1639,0.305
Ev,Ev05,30,680,55,30,0.2865,0.321
Ev,Ev05,31,684,96,36,0.3496,0.36
Ev,Ev05,32,224,84,28,0.2234,0.527
Ev,Ev05,33,007,42,17,0.2984,0.515
Ev,Ev05,34,400,64,20,0.2225,0.342
Ev,Ev05,35,206,56,27,0.2773,0.35
Ev,Ev05,36,080,35,14,0.3144,0.387
Ev,Ev06,0,020,13,6,0.3412,0.578
Ev,Ev06,1,020,11,6,0.2124,0.431
Ev,Ev06,2,004,36,13,0.2038,0.454
Ev,Ev06,3,056,33,14,0.3852,0.526
