headword,syllables,source,gloss
hirihiri,4,Churchill/Roussel,"a  swing,  seesaw."
hiri,2,Churchill/Roussel,to  make  a  bag.
taiira,4,Churchill/Roussel,"hiri,  to  make  a  cord."
rauoho,4,Churchill/Roussel,"hiri,  plaited  hair."
hiro,2,Churchill/Roussel,"to  spin,  to  twist."
hirohiro,4,Churchill/Roussel,"to  mix,  to  blend,  to  dissolve,  to"
hita,2,Churchill/Roussel,to  strangle.
hiti,2,Churchill/Roussel,"to  rise,  to  appear,  to  dawn,     (ka-htti,"
hitihiti,4,Churchill/Roussel,to  dawn.
horau,3,Churchill/Roussel,"hitihiti,  break  of  day."
hitu,2,Churchill/Roussel,seven.
hiva,2,Churchill/Roussel,"strange,  alien,  foreign;  a  stranger."
kuhane,3,Churchill/Roussel,"hiva,  Holy  Ghost."
hakahiva,4,Churchill/Roussel,"mata  hakahiva,  to  look  back."
hivo,2,Churchill/Roussel,capstan.
repa,2,Churchill/Roussel,"hoa,  friend  (male),  comrade,  com-"
uha,2,Churchill/Roussel,"hoa,  friend  (female)."
hoa,2,Churchill/Roussel,"ko7ia,  native  T."
hoahoa,4,Churchill/Roussel,"to  upset,  to  destroy."
tori,2,Churchill/Roussel,"te  koa  hogihogi,  to  follow  a  scent."
hohonu,3,Churchill/Roussel,deep.
hakahohonu,5,Churchill/Roussel,to  deepen.
hoi,2,Churchill/Roussel,"hoi  atu,  to  get  out  of  the  way."
hoke,2,Churchill/Roussel,banana  leaf.
hoki,2,Churchill/Roussel,"also,  what."
pei,2,Churchill/Roussel,"ra  hoki,  similitude,  likeness."
hakahoki,4,Churchill/Roussel,"to  bring  back,  to  send  back,"
hakahokia,5,Churchill/Roussel,given  up.
homo,2,Churchill/Roussel,thunder.
honihoni,4,Churchill/Roussel,adultery.
honohono,4,Churchill/Roussel,"to  join,  to  fit,  to  adjust,  to  unite,"
hakahonohono,6,Churchill/Roussel,a  joining.
honu,2,Churchill/Roussel,turtle.
honui,3,Churchill/Roussel,great  (hoonui).
hakahonui,5,Churchill/Roussel,"to  praise,  to  commend."
hoo,2,Churchill/Roussel,to  contain.
hopehope,4,Churchill/Roussel,calm;  cooked  too  much.
hopo,2,Churchill/Roussel,"alarm,  fear,  formidable."
hopohopo,4,Churchill/Roussel,"languor,  fear,  timid,  to  lan-"
hakahopohopo,6,Churchill/Roussel,to  alarm.
hopu,2,Churchill/Roussel,"bath;  to  bathe,  to  cleanse  (hoopu)."
hora,2,Churchill/Roussel,in  haste  (horahorau).
horahora,4,Churchill/Roussel,"to    spread,    unfold,    extend,    to"
hohora,3,Churchill/Roussel,to  come  into  leaf.
horahorau,5,Churchill/Roussel,"immediately,  sooner,  forth-"
horahoraukina,7,Churchill/Roussel,agile.
horauhorau,6,Churchill/Roussel,"brief,  to  continue."
horarau,4,Churchill/Roussel,to  run.
hore,2,Churchill/Roussel,"le  gao,  to  chop  the  head  off."
horea,3,Churchill/Roussel,taken  to  pieces.
