headword,syllables,source,gloss
opata,3,Churchill/Roussel,"perpendicular,  vertical,  cliff,  precipice,"
opatatai,5,Churchill/Roussel,shore.
opeope,4,Churchill/Roussel,"spiritless,  to  waste  away,  to  fast,  to"
ora,2,Churchill/Roussel,"nui,  November,  October."
oraora,4,Churchill/Roussel,"oraora  no  iti,  to  be  better."
hakaunii,5,Churchill/Roussel,ora.  to  water.
oriare,4,Churchill/Roussel,miro  oriare  zigzag.
oroina,4,Churchill/Roussel,to  choke  on  a  fish  bone.
orooro,4,Churchill/Roussel,"to  whet,  to  sharpen  (horo)."
otu,2,Churchill/Roussel,hill  T.
otua,3,Churchill/Roussel,younger.
pa,1,Churchill/Roussel,"a   wall,    palisade,    parapet,    rampart,"
paatai,4,Churchill/Roussel,"salt,  salty."
pae,2,Churchill/Roussel,enough.
hakapae,4,Churchill/Roussel,"to  exhaust,  to  finish,  to  end,"
paea,3,Churchill/Roussel,"enough,  past."
paepae,4,Churchill/Roussel,"pavement,  plank,  canoe."
paero,3,Churchill/Roussel,"all,  total,  totality,  to  sweep  off  all."
paha,2,Churchill/Roussel,boar  (probably  a  borrowing).
pahae,3,Churchill/Roussel,"rent,  tear."
pahe,2,Churchill/Roussel,"like,  as."
pahera,3,Churchill/Roussel,tortoise  shell.
pahia,3,Churchill/Roussel,"hot,  to  sweat,  to  perspire."
pahora,3,Churchill/Roussel,to  expand.
pahti,2,Churchill/Roussel,"papaku,  coffin."
pahupahu,4,Churchill/Roussel,box.
pahuahi,4,Churchill/Roussel,"lantern,  beacon."
pahukumi,4,Churchill/Roussel,"closet,  cupboard."
pahupopo,4,Churchill/Roussel,a  mould.
pahupopokai,6,Churchill/Roussel,cupboard  for  food.
pahure,3,Churchill/Roussel,"to  wound,  to  lacerate,  scar,  bruise,"
pahurehure,5,Churchill/Roussel,"to  wound,  to  scratch."
hakapahure,5,Churchill/Roussel,to  wound.
paihi,3,Churchill/Roussel,"rent,  tear."
pakapaka,4,Churchill/Roussel,"crust,  scabby."
pakahera,4,Churchill/Roussel,"calabash,  shell,  jug."
pakahia,4,Churchill/Roussel,"to  clot,  curdle,  coagulate."
hakapakakina,6,Churchill/Roussel,"to  snap,  to  crack."
pakapakakina,6,Churchill/Roussel,"to  go  boldly,  to  run,  swift,"
hakapakapaka,6,Churchill/Roussel,"to   dry,    to   broil,    to"
pakeke,3,Churchill/Roussel,efi'rontery.
pakete,3,Churchill/Roussel,bucket.
pakiroki,4,Churchill/Roussel,"thin,  lean,  meager."
hakapakiroki,6,Churchill/Roussel,squat.
pakoa,3,Churchill/Roussel,"peu  pakoa,  an  axe  with  a  poor  helve."
pakuki,3,Churchill/Roussel,"to  run  away,  to  escape."
pakuku,3,Churchill/Roussel,"to  move,  to  stagger,  to  wallow."
pakupaku,4,Churchill/Roussel,"anguish,  to  shake."
panene,3,Churchill/Roussel,to  boil.
pao,2,Churchill/Roussel,"to  cut  off,  to  throw  a  lance."
paopao,4,Churchill/Roussel,"spade,  shovel,  rubbish,  to  lacerate,"
papa,2,Churchill/Roussel,shoulderblade.
papaa,3,Churchill/Roussel,"tanuga  papaa,  tomb."
papae,3,Churchill/Roussel,"barrier,  to  close."
papaka,3,Churchill/Roussel,"rua  papaka,  a  ditch."
papakina,4,Churchill/Roussel,"waves  which  surge,  disturbance,"
papakino,4,Churchill/Roussel,northerly  and  westerly  winds  of
papakona,4,Churchill/Roussel,thigh.
rua,2,Churchill/Roussel,"papaku,  grave."
papakuia,5,Churchill/Roussel,"in  a  hurry,  haste."
papapapa,4,Churchill/Roussel,"a  chill,  cold,  to  shiver,  to  tremble,"
paparaha,4,Churchill/Roussel,a  flat  stone  (paraha).
papatema,4,Churchill/Roussel,baptism.
pavau,3,Churchill/Roussel,to  bend  back  (of  sugar  canes).
papekoo,4,Churchill/Roussel,cemetery  T  (?  papaku).
hakapara,4,Churchill/Roussel,to  mellow.
paraha,3,Churchill/Roussel,flat.
parapara,4,Churchill/Roussel,"paper,  card."
pararaha,4,Churchill/Roussel,"flat,  sole  Q."
parau,3,Churchill/Roussel,"to  speak  T,  to  talk  T."
parehe,3,Churchill/Roussel,"to  break,  a  crack."
parei,3,Churchill/Roussel,to  sparkle  (of  the  eyes).
parera,3,Churchill/Roussel,"a  shallow,  a  reef."
hakaparera,5,Churchill/Roussel,"to  frighten,  to  scare."
pareu,3,Churchill/Roussel,"skirt,  apron."
pari,2,Churchill/Roussel,wave  breaking  on  shore.
paripari,4,Churchill/Roussel,"tai  paripari,  a  squall."
paru,2,Churchill/Roussel,"to  boast,  to  brag."
parue,3,Churchill/Roussel,throw  away  T  Q.
patara,3,Churchill/Roussel,"to  loosen,  to  unchain,  to  release."
hakapatara,5,Churchill/Roussel,"to  unite,  to  release,  to  set"
pateriareka,6,Churchill/Roussel,patriarch.
pati,2,Churchill/Roussel,"blister,  wart,  dropsy."
patoketoke,5,Churchill/Roussel,to  be  unsteady.
patupatu,4,Churchill/Roussel,page.
pau,2,Churchill/Roussel,resin.
pava,2,Churchill/Roussel,"peace,  to  cease  from  wrath."
hakapava,4,Churchill/Roussel,"to  make  peace,  to  pacify,  to"
peaha,3,Churchill/Roussel,"perhaps,    about,    possibly,    maybe,"
reoreo,4,Churchill/Roussel,"peaha,  unlikely,  improbable."
peapea,4,Churchill/Roussel,"an  erasure,  scratch."
hakapeapea,6,Churchill/Roussel,"to  efface,  to  erase."
peata,3,Churchill/Roussel,saint.
peau,3,Churchill/Roussel,to  sweep  all  away.
pehea,3,Churchill/Roussel,how.
peka,2,Churchill/Roussel,a  cross.
pekapeka,4,Churchill/Roussel,curly.
pekapekavae,6,Churchill/Roussel,instep  T.     (?  shoelaces.)
hakapeka,4,Churchill/Roussel,to  cross.
hakapekapeka,6,Churchill/Roussel,"to  interlace,  lattice."
peke,2,Churchill/Roussel,"to  succeed,  to  follow."
petia,3,Churchill/Roussel,"hakagau,  bit."
peni,2,Churchill/Roussel,paint.
pepe,2,Churchill/Roussel,a  sketch.
pepepepe,4,Churchill/Roussel,bedstead.
pepeke,3,Churchill/Roussel,"lean,    weak,    effeminate,    without"
pera,2,Churchill/Roussel,to  forbid  (peraa).
pere,2,Churchill/Roussel,"doleful,  lugubrious."
perehe,3,Churchill/Roussel,cicatrice  (plaie)  (eperehe).
perepitero,5,Churchill/Roussel,priest.
peropero,4,Churchill/Roussel,greedy.
hakaperopero,6,Churchill/Roussel,"to  famish,  to  starve."
petehe,3,Churchill/Roussel,"a  cut,  incision."
peti,2,Churchill/Roussel,"wind  in  the  belly,  to  blow."
peu,2,Churchill/Roussel,"axe,  adze,  mattock."
peupeu,4,Churchill/Roussel,to  groan.
peva,2,Churchill/Roussel,to  be  in  the  habit  of.
akui,3,Churchill/Roussel,"ei  piere  hiva,  to  tar."
hakapierehiva,7,Churchill/Roussel,to  tar.
pii,2,Churchill/Roussel,to  crush.
hakapiipii,6,Churchill/Roussel,id.
pikea,3,Churchill/Roussel,crab.
piki,2,Churchill/Roussel,"to  climb,  to  mount,  to  go  up."
pikipiki,4,Churchill/Roussel,"to  embark,  to  go  aboard."
hakapiki,4,Churchill/Roussel,to  climb.
piko,2,Churchill/Roussel,post.
hakapiko,4,Churchill/Roussel,"pliant,  to  bend."
pikopiko,4,Churchill/Roussel,crooked.
veo,2,Churchill/Roussel,"pikopiko,  arrow  that  flies  ill."
pine,2,Churchill/Roussel,"toto  pine,  bruise,  contusion."
piniku,3,Churchill/Roussel,mesh.
pipi,2,Churchill/Roussel,"to  blanch,  to  etiolate."
pipine,3,Churchill/Roussel,"to  be  wavy,  to  undulate."
pipu,2,Churchill/Roussel,bowl  R  (?  hipu).
pirari,3,Churchill/Roussel,honey.
pipiri,3,Churchill/Roussel,"to  stick,  glue,  gum."
hakapiri,4,Churchill/Roussel,"plaster,  to  solder."
hakapipiri,5,Churchill/Roussel,"to  glue,  to  gum,  to  coat,  to"
piria,3,Churchill/Roussel,"tagata  piria,  traitor."
piripou,4,Churchill/Roussel,ipiri  3-pou)  trousers.
piriukona,5,Churchill/Roussel,tattooing  on  the  hands.
hiakapipiro,6,Churchill/Roussel,infection.
pito,2,Churchill/Roussel,navel.
poa,2,Churchill/Roussel,"shock,  to  strike,  to  blot,  contagion."
poepoe,4,Churchill/Roussel,"canoe,  dugout  (paepae)."
pohiuhiu,5,Churchill/Roussel,boom  (of  a  sail).
pohutu,3,Churchill/Roussel,to  disfigure.
pohutua,4,Churchill/Roussel,defaced.
poihuihu,5,Churchill/Roussel,"bowsprit,  prow."
pokopoko,4,Churchill/Roussel,to  slap  water.
imitation,5,Churchill/Roussel,"of  drumming;  pokokina,"
pokoo,3,Churchill/Roussel,toothache.
hakapokopoko,6,Churchill/Roussel,to  deepen.
pokupoku,4,Churchill/Roussel,"to  overthrow,  to  capsize."
poopo,3,Churchill/Roussel,whitebait  T.
popo,2,Churchill/Roussel,waves  which  strike  one  another.
popopopo,4,Churchill/Roussel,to  deteriorate.
poporohiva,5,Churchill/Roussel,milk  thistle  T.
poreko,3,Churchill/Roussel,"to  lie  in,  to  give  birth,  to  procreate,"
porekoa,4,Churchill/Roussel,born.
poremo,3,Churchill/Roussel,abstinence.
poripori,4,Churchill/Roussel,negro.
poro,2,Churchill/Roussel,to  notch.
porohata,4,Churchill/Roussel,"to  sink  into  ruin,  to  crumble."
poroieko,5,Churchill/Roussel,"to  slip,  to  slide."
porokimo,4,Churchill/Roussel,next  (proximus).
potaka,3,Churchill/Roussel,"cart,  wagon."
hakapotaka,5,Churchill/Roussel,to  cart.
poti,2,Churchill/Roussel,boat.
popoto,3,Churchill/Roussel,laconic.
potopoto,4,Churchill/Roussel,short.
hakapoto,4,Churchill/Roussel,"to    decrease,    to    shorten,"
hakapotopoto,6,Churchill/Roussel,"to  abridge,  to  contract."
potu,2,Churchill/Roussel,"end,  tip."
potupotu,4,Churchill/Roussel,cockroach.
pou,2,Churchill/Roussel,"column,  post,  pillar."
pouri,3,Churchill/Roussel,darkness.
pohurihuri,5,Churchill/Roussel,gloom.
puru,2,Churchill/Roussel,"ki  te  hare  pohurihuri,   to   im-"
taheta,3,Churchill/Roussel,"pu,  fountain,  spring."
hakapu,3,Churchill/Roussel,"to  dowel,  to  pierce,  to  per-"
puhare,3,Churchill/Roussel,"emptiness,  vacuity."
pupuhihia,5,Churchill/Roussel,to  carry  on  the  wind.
hakapupuhi,5,Churchill/Roussel,"to  gush,  leaven,  volatilize."
puhipuhi,4,Churchill/Roussel,"to  smoke,  to  smoke  tobacco,"
puka,2,Churchill/Roussel,book.
pukao,3,Churchill/Roussel,crown.
puke,2,Churchill/Roussel,"to  hill  up  a  plant,  tb  heap  up,  to  collect."
hakapuke,4,Churchill/Roussel,"to  heap,  to  pile  up."
pukou,3,Churchill/Roussel,"germ,  shoot,  to  sprout."
puku,2,Churchill/Roussel,"pukti  haga  oao,  east,  east  wind."
pukupuku,4,Churchill/Roussel,"green,  immature."
puma,2,Churchill/Roussel,"pu  mat  puma,  good  night."
pumahana,4,Churchill/Roussel,heat.
hakapumaana,6,Churchill/Roussel,"to  heat,  to  scald."
puneki,3,Churchill/Roussel,"germ,  to  spring  up."
punekineki,5,Churchill/Roussel,"to  bubble,  to  boil."
punene,3,Churchill/Roussel,to  leak.
punipuni,4,Churchill/Roussel,to  dull.
puoa,3,Churchill/Roussel,clothed.
puopuo,4,Churchill/Roussel,to  display.
pupa,2,Churchill/Roussel,rat's  nest.
pupapupa,4,Churchill/Roussel,bubble  of  water.
pupu,2,Churchill/Roussel,"to  collect,  to  accumulate,  collection,"
pupupu,3,Churchill/Roussel,to  agglomerate.
hakapura,4,Churchill/Roussel,"to  illuminate,  to  make  bright,"
hakapupura,5,Churchill/Roussel,"to  shine  upon,  lustrous."
hakapurapura,6,Churchill/Roussel,phosphorescence.
purariki,4,Churchill/Roussel,tattooing  on  the  back.
purepure,4,Churchill/Roussel,"spotted,  dappled."
purepurea,5,Churchill/Roussel,spotted.
pureva,3,Churchill/Roussel,to  throw  a  stone.
purua,3,Churchill/Roussel,"covered,  shut  up,  seclusion."
puruhare,4,Churchill/Roussel,roof.
purukatorio,6,Churchill/Roussel,purgatory.
puta,2,Churchill/Roussel,fat.
puputa,3,Churchill/Roussel,"bulk,  voluminous."
hakaputaputa,6,Churchill/Roussel,to  gobble  gluttonously.
puti,2,Churchill/Roussel,"robust,  plump,  dropsy."
putuputu,4,Churchill/Roussel,"assiduous,    compact,    frequent,"
hakaputuputu,6,Churchill/Roussel,to  do  often.
rae,2,Churchill/Roussel,"commencement,  beginning,  to  strike"
rahirahi,4,Churchill/Roussel,"clear,  light,  thin,  flimsy."
hakarahirahi,6,Churchill/Roussel,a  scraper.
rahui,3,Churchill/Roussel,"to  forbid,  to  prohibit,  to  interdict."
rakau,3,Churchill/Roussel,wood.
hakakamikami,6,Churchill/Roussel,"ki   te    rakau,    to    im-"
hakarakerake,6,Churchill/Roussel,"causative,  to  make  bad,"
rakei,3,Churchill/Roussel,"an  ornament;  to  prepare,  to  embellish,"
rakeia,4,Churchill/Roussel,dressed  up.
rama,2,Churchill/Roussel,nut.
ranorano,4,Churchill/Roussel,"volcano,  crater."
rapa,2,Churchill/Roussel,to  polish.
hakarapa,4,Churchill/Roussel,"to  polish,  to  smooth."
raparapa,4,Churchill/Roussel,"to  glisten,  smooth;  tin,  zinc,"
hakaraparapa,6,Churchill/Roussel,"to  brighten,  to  plate."
rape,2,Churchill/Roussel,"room,  chamber."
rapehare,4,Churchill/Roussel,"hall,  room."
rapino,3,Churchill/Roussel,rabbit  {la pin).
rapo,2,Churchill/Roussel,pumice.
rapu,2,Churchill/Roussel,"work,  workman,  to  till  the  soil,  to  hoe."
rapurapua,5,Churchill/Roussel,"kaiga  rapurapna,  cultivated"
rara,2,Churchill/Roussel,"to  meddle  with,  to  insinuate  oneself,"
rarama,3,Churchill/Roussel,"to  inspect,  to  review."
rarara,3,Churchill/Roussel,"condemnation,  to  condemn."
rararara,4,Churchill/Roussel,to  heat.
rarau,3,Churchill/Roussel,"distrust,  mistrust."
rarirari,4,Churchill/Roussel,"muddy,  miry."
hakarari,4,Churchill/Roussel,"to  soak,  to  wet."
rarikau,4,Churchill/Roussel,go  away  T.
raro,2,Churchill/Roussel,"under,  below,  leeward."
rata,2,Churchill/Roussel,to  tame.
rate,2,Churchill/Roussel,rat.
rau,2,Churchill/Roussel,hundred.
raua,3,Churchill/Roussel,they.
rauhiva,4,Churchill/Roussel,"weak,   feeble,   ill,   malady,   fever,"
raupa,3,Churchill/Roussel,large  leaves.
hakarava,4,Churchill/Roussel,"to  enlarge,  to  augment,  to"
ravaika,4,Churchill/Roussel,to  fish.
ravakai,4,Churchill/Roussel,"glutton,  insatiable   (ravekai)."
ravakata,4,Churchill/Roussel,"jovial,  merry."
ravakakata,5,Churchill/Roussel,id.
ravaki,3,Churchill/Roussel,"to  prattle,  to  tell  stories,  loquacious,"
ravapeto,4,Churchill/Roussel,"to  blab,  to  speak  evil."
ravapure,4,Churchill/Roussel,"fervent,  earnest."
ravarae,4,Churchill/Roussel,invention.
ravatere,4,Churchill/Roussel,to  scare  away.
ravatotouti,6,Churchill/Roussel,"neku  ravatotouti,  agile."
reeree,4,Churchill/Roussel,black.
rehau,3,Churchill/Roussel,head  ornament  of  women's  hair.
reherehe,4,Churchill/Roussel,"weak,    feeble,    lean,    effeminate,"
hakareherehe,6,Churchill/Roussel,relaxed.
rehu,2,Churchill/Roussel,"to  omit,  to  forget,  to  faint."
rehurehu,4,Churchill/Roussel,"to  omit,   omission,  lost  to"
hakarehu,4,Churchill/Roussel,to  surprise.
rehua,3,Churchill/Roussel,unintelligible.
tooth,2,Churchill/Roussel,"of  the  cachalot,  an  object  held  in"
reirei,4,Churchill/Roussel,"to  trample  down,  to  knead,  to  pound."
reka,2,Churchill/Roussel,"then,  but,  or,  therefore."
hakareka,4,Churchill/Roussel,"to  amuse,  to  caress,  pleasant"
rekareka,4,Churchill/Roussel,"to  long  for,  an  adulterer."
hakarekareka,6,Churchill/Roussel,"to  tickle,  enjoyment."
reke,2,Churchill/Roussel,"spur,  talon,  claw,  heel  Q."
rekevae,4,Churchill/Roussel,"the  sole,  in  which  the  parent  sense"
rekireki,4,Churchill/Roussel,generous.
remereme,4,Churchill/Roussel,to  dazzle.
reo,2,Churchill/Roussel,"voice,  vocal,  word,  air  of  a  song,  lan-"
hakareoreo,6,Churchill/Roussel,to  tell  a  story.
ioua,4,Churchill/Roussel,"reo,  discussion  without  knowing"
hakaaroha,5,Churchill/Roussel,"reo,    vain   compassion,  to"
reone,3,Churchill/Roussel,lion.
repureva,4,Churchill/Roussel,neck  ornament  of  women  made  of
rerarera,4,Churchill/Roussel,surface  of  the  sea.
hetiiu,4,Churchill/Roussel,"rere,  meteor,  flying  star."
rerepe,3,Churchill/Roussel,crest.
rerere,3,Churchill/Roussel,to  spatter.
rero,2,Churchill/Roussel,to  daub.
rerorero,4,Churchill/Roussel,"to  crush,  to  bruise."
reru,2,Churchill/Roussel,calf  of  the  leg  T  (cf.  heru).
rerureru,4,Churchill/Roussel,fishgills.
retera,3,Churchill/Roussel,letter.
retu,2,Churchill/Roussel,tattooing  on  the  head.
reva,2,Churchill/Roussel,"to  hang,  to  suspend,  flag,  banner."
hakareva,4,Churchill/Roussel,to  hang  up.
hakarereva,5,Churchill/Roussel,"to  hang  up,  to  balance."
hakarevareva,6,Churchill/Roussel,to  wave.
ri,1,Churchill/Roussel,rice  {riz).
riha,2,Churchill/Roussel,"slow,  tardy."
rihariha,4,Churchill/Roussel,"feeble,  cooked  too  much."
rikiriki,4,Churchill/Roussel,"small,  dainty,  fine,  frail,  narrow."
riku,2,Churchill/Roussel,vine  (fern)  T.
rimaetua,5,Churchill/Roussel,supernatural.
meaning,3,Churchill/Roussel,in   Polynesian    theology.     The
rimahakaviriviri,8,Churchill/Roussel,"fist,  to  clench  the  fist,  a"
rimamaatoo,6,Churchill/Roussel,rapacious.
rimaroaroa,6,Churchill/Roussel,tahaga  middle  finger  T.
rimatitiri,5,Churchill/Roussel,to  walk  with  the  hands  behind
rimaruru,4,Churchill/Roussel,to  clasp  hands.
rimatuhi,4,Churchill/Roussel,henna  (?)  index  finger  T.
rimu,2,Churchill/Roussel,"seaweed,  slime,  seamoss."
hakaripoi,5,Churchill/Roussel,"disorder,  blunder,  to  invert"
riri,2,Churchill/Roussel,"animosity,   ill-will,   spite,   strength   T,"
hakarite,4,Churchill/Roussel,"koe,  unequal,  unfair,  incom-"
ritorito,4,Churchill/Roussel,"white,  neat,  clean,  handsome,  good-"
rivariva,4,Churchill/Roussel,"neatness,    effect,    seasouableness,"
hakatu,3,Churchill/Roussel,"rivariva,  fine  appearance."
hakariva,4,Churchill/Roussel,"happiness,  attention,  opera-"
roa,2,Churchill/Roussel,"long,  large,  extent."
roaroa,4,Churchill/Roussel,"to  grow,  height."
hakaroaroa,6,Churchill/Roussel,"to  lengthen,  to  develop."
hakaroroa,5,Churchill/Roussel,"to  extend,  prolong,  defer,"
roau,3,Churchill/Roussel,"to  assist,   to  celebrate,  to  venerate,"
roe,2,Churchill/Roussel,ant.
roho,2,Churchill/Roussel,head  (oho).
roi,2,Churchill/Roussel,knife  Q.
rona,2,Churchill/Roussel,"drawing,  traction."
rorirori,4,Churchill/Roussel,"to  stagger,  to  waver,  to  luff."
hakarori,4,Churchill/Roussel,to  tack  about.
roro,2,Churchill/Roussel,"head,  skull,  brains."
roto,2,Churchill/Roussel,"marsh,  swamp,  bog."
omitting,3,Churchill/Roussel,the  noise-beat  yet  leaves  it  in-
roturotu,4,Churchill/Roussel,to  take  to  pieces.
rou,2,Churchill/Roussel,"meaniea,  feather."
ru,1,Churchill/Roussel,"a  chill,  to  shiver,  to  shudder,  to  quake."
ruru,2,Churchill/Roussel,"fever,  chill,  to  shiver,  to  shake,  to"
hakarua,4,Churchill/Roussel,"to  vomit,  to  spew."
ruhi,2,Churchill/Roussel,succulent.
ruku,2,Churchill/Roussel,"to  bathe,  to  immerse,  to  swim  face"
hakaruku,4,Churchill/Roussel,"to   cover   with    water,    to"
rumaki,3,Churchill/Roussel,a  corpse  ready  for  burial.
runu,2,Churchill/Roussel,"to  pluck,  to  pick,  a  burden."
runurunu,4,Churchill/Roussel,a  representative.
rupa,2,Churchill/Roussel,handkerchief  T  (ropa).
rupou,3,Churchill/Roussel,to  be  in  a  frenzy.
ruruku,3,Churchill/Roussel,capstan.
rurururu,4,Churchill/Roussel,"to  drum,  to  shake."
rutirae,4,Churchill/Roussel,"author,  to  attack."
rutu,2,Churchill/Roussel,to  recite.
ta,1,Churchill/Roussel,of.
taaka,3,Churchill/Roussel,his.
taaku,3,Churchill/Roussel,mine.
taana,3,Churchill/Roussel,his.
taha,2,Churchill/Roussel,"to  bend,  sloping,  to  go  hither  and"
tahataha,4,Churchill/Roussel,"frontier,  horizon."
hakataha,4,Churchill/Roussel,"to  divert,  to  turn  away,  to"
tahae,3,Churchill/Roussel,"moe  tahae,  to  be  a  light  sleeper."
tahatahatai,6,Churchill/Roussel,coast.
tahe,2,Churchill/Roussel,"to  run  freely,  to  flow  (tehe  4)."
tahia,3,Churchill/Roussel,to  kill  Q.
tahito,3,Churchill/Roussel,to  intone.
tahitorae,5,Churchill/Roussel,intonation.
tahu,2,Churchill/Roussel,to  assist.
haka,2,Churchill/Roussel,"tahuga  to  put  in  pairs,  to  arrange."
tahuri,3,Churchill/Roussel,"to  pirouette,  to  turn  a  boat."
tahuti,3,Churchill/Roussel,"noa,  irruption."
hakatahuti,5,Churchill/Roussel,to  fight.
taitai,4,Churchill/Roussel,"brackish,  salty."
taie,3,Churchill/Roussel,"to  overflow,  to  go  beyond."
taiko,3,Churchill/Roussel,"fog,  mist."
hakataiko,5,Churchill/Roussel,id.
taka,2,Churchill/Roussel,a  dredge.
kaa,2,Churchill/Roussel,"in  the  same  sense,  Marquesas  takako  a"
takataka,4,Churchill/Roussel,"ball,  spherical,  round,  circle,"
hakatakataka,6,Churchill/Roussel,"to  round,  to  concen-"
takai,3,Churchill/Roussel,"a  curl,  to  tie."
takaikai,5,Churchill/Roussel,to  lace  up.
takaitakai,6,Churchill/Roussel,to  coil.
takapau,4,Churchill/Roussel,"a  fold,  inside  out."
takarameta,5,Churchill/Roussel,sacrament.
takatore,4,Churchill/Roussel,"hipu  takatore,  plate,  dish."
takeo,3,Churchill/Roussel,bitter.
takere,3,Churchill/Roussel,hill.
takoe,3,Churchill/Roussel,thine.
taku,2,Churchill/Roussel,"prediction,  prophecy,  prognostic,"
takurua,4,Churchill/Roussel,"full  of  stones,  pebbly,  stony,  a  path"
tama,2,Churchill/Roussel,to  align.
tamaiti,4,Churchill/Roussel,child.
tamaki,3,Churchill/Roussel,to  display.
tana,2,Churchill/Roussel,his.
tanoa,3,Churchill/Roussel,convolvulus  T.
tanu,2,Churchill/Roussel,"to  bury,  to  plant,  to  sow  seed,  to  inter,"
tao,2,Churchill/Roussel,"to  cook  in  an  oven,  to  sacrifice."
taora,3,Churchill/Roussel,"convulsive,  convulsion."
tatapa,3,Churchill/Roussel,"lateral,  bank."
tapatapa,4,Churchill/Roussel,edge.
tapani,3,Churchill/Roussel,"chisel,  scissors,  chopper,  to  shear,"
taperenakero,6,Churchill/Roussel,tabernacle.
tapoke,3,Churchill/Roussel,"to  go  hither  and  thither,  to  stumble,"
tapu,2,Churchill/Roussel,"to  forbid,  to  prohibit,  sacred,  holy."
hakatapu,4,Churchill/Roussel,"to  forbid,   to  prohibit,   to"
tapua,3,Churchill/Roussel,holy.
tara,2,Churchill/Roussel,dollar.
taratara,4,Churchill/Roussel,"prickly,  rough,  full  of  rocks."
tatara,3,Churchill/Roussel,to  make  a  genealogy.
tarai,3,Churchill/Roussel,"deluge,  sound  of  water."
taraia,4,Churchill/Roussel,rough-hewn.
tarake,3,Churchill/Roussel,maize.
tari,2,Churchill/Roussel,"to  pluck,  to  gather,  to  reap,  to  load."
hakatari,4,Churchill/Roussel,"to  conduct,  to  guide,  to  direct,"
tarirapa,4,Churchill/Roussel,to  gather.
tarotaro,4,Churchill/Roussel,"to  chide,  to  censure,  to  curse,  to"
tarupu,3,Churchill/Roussel,"to  oppose,  to  prevent,  to  hinder,"
hakatarupu,5,Churchill/Roussel,to  set  an  obstacle.
taruri,3,Churchill/Roussel,sprain.
taruriruri,5,Churchill/Roussel,"to  go  hither  and  thither,  to"
tata,2,Churchill/Roussel,"next,  proximity."
hakatata,4,Churchill/Roussel,to  bring  close  together.
tataku,3,Churchill/Roussel,"to   add,   to  calculate,   to   number."
tatari,3,Churchill/Roussel,"to  wait  for,  to  expect,  to  hope."
tatau,3,Churchill/Roussel,to  milk.
tatou,3,Churchill/Roussel,we.
tau,2,Churchill/Roussel,"fit,  worthy,  deserving,  opportune."
pet,1,Churchill/Roussel,"ra  tau,  system."
hakatau,4,Churchill/Roussel,necklace.
hakatautau,6,Churchill/Roussel,to  append.
taua,3,Churchill/Roussel,"to  come  to,  to  board."
tauaki,4,Churchill/Roussel,"to  hang  out  clothes,  to  air."
tauhoru,4,Churchill/Roussel,"heetti  tauhoru,  morning  star."
taukete,4,Churchill/Roussel,"brother-in-law,  sister-in-law."
uterine,4,Churchill/Roussel,"relationship,  in  the  Tongafiti  it  is"
taura,3,Churchill/Roussel,"thread,  cord,  twine,  strand."
tautau,4,Churchill/Roussel,fertile  (toutou).
taviri,3,Churchill/Roussel,"key,  lock,  to  turn  a  crank."
hakataviri,5,Churchill/Roussel,a  pair  of  compasses.
tea,2,Churchill/Roussel,"to  shine,  be  bright,  brilliant,  white."
teatea,4,Churchill/Roussel,"white,   blond,    pale,   colorless,"
hakateatea,6,Churchill/Roussel,"to  blanch,  to  bleach."
teaniho,4,Churchill/Roussel,"enamel  of  the  teeth,"
tehetehe,4,Churchill/Roussel,notch.
hakatehe,4,Churchill/Roussel,to  liquefy.
tehi,2,Churchill/Roussel,to  sneeze  (tehu  Q).
tehu,2,Churchill/Roussel,to  cough  (cf.  tehi).
teina,3,Churchill/Roussel,younger  brother  or  sister  or  cousin.
teitei,4,Churchill/Roussel,"to  grow,  to  mcrease,  to  raise,  to  ele-"
hakateitei,6,Churchill/Roussel,to  be  plentiful.
tekai,3,Churchill/Roussel,"curl,  a  round  ball,  as  of  twine."
teke,2,Churchill/Roussel,"teke  ki  nei,  as  far  as,  until  (?  tehe  i)."
metaku,3,Churchill/Roussel,"ki  te  tekeo,  sensitive  to  cold."
tekeotekeo,6,Churchill/Roussel,chilled.
teketeke,4,Churchill/Roussel,"crest,  ridge."
teki,2,Churchill/Roussel,to  traverse.
tekiteki,4,Churchill/Roussel,id.
tena,2,Churchill/Roussel,that.
tenei,3,Churchill/Roussel,this.
teni,2,Churchill/Roussel,"hopohopo  teni,  to  languish,"
teperanate,5,Churchill/Roussel,serpent.
tepuhanga,4,Churchill/Roussel,light  variable  rain  winds  T.
tera,2,Churchill/Roussel,every  one.
teratera,4,Churchill/Roussel,each.
tere,2,Churchill/Roussel,"to  depart,  to  run,  to  take  leave,  to"
terea,3,Churchill/Roussel,"rest,  defeat."
tetere,3,Churchill/Roussel,"to  beat  a  retreat,  to  go  away,"
teretere,4,Churchill/Roussel,"to  go  away,  hurrah."
hakatere,4,Churchill/Roussel,"to  set  free,  to  despatch,  to"
teretai,4,Churchill/Roussel,a  sailor.
tetetete,4,Churchill/Roussel,"fever,  to  tremble."
ti,1,Churchill/Roussel,dracaena.
tia,2,Churchill/Roussel,to  sew  (tiha  Q).
tiaporo,4,Churchill/Roussel,devil  (diabolus).
tute,2,Churchill/Roussel,"tiaporo,  exorcise."
tiha,2,Churchill/Roussel,"manava  tiha,  shortness  of  breath."
tika,2,Churchill/Roussel,class.
