side,lag,observed,shuffled_mean,z
Gv,36,0.0290,0.0170,1.44
Gv,37,0.0194,0.0172,0.25
Gv,38,0.0390,0.0169,2.48
Gv,39,0.0245,0.0162,0.92
Gv,40,0.0148,0.0173,-0.28
Gv,41,0.0198,0.0170,0.31
Gv,42,0.0299,0.0169,1.42
Gv,43,0.0200,0.0175,0.28
Gv,44,0.0101,0.0181,-0.83
Gv,45,0.0000,0.0162,-1.89
Gv,46,0.0254,0.0167,0.94
Gv,47,0.0153,0.0181,-0.29
Gv,48,0.0256,0.0175,0.83
Gv,49,0.0155,0.0159,-0.04
Gv,50,0.0207,0.0182,0.28
Gv,51,0.0208,0.0156,0.63
Gv,52,0.0262,0.0160,1.14
Gv,53,0.0105,0.0173,-0.82
Gv,54,0.0212,0.0164,0.52
Gv,55,0.0053,0.0152,-1.18
Gv,56,0.0160,0.0171,-0.13
Gv,57,0.0108,0.0170,-0.64
Gv,58,0.0324,0.0158,2.03
Gv,59,0.0272,0.0174,1.10
Gv,60,0.0273,0.0181,0.91
Hr,1,0.0650,0.0151,9.98
Hr,2,0.0599,0.0146,8.41
Hr,3,0.0395,0.0144,5.39
Hr,4,0.0756,0.0145,12.57
Hr,5,0.0258,0.0143,2.48
Hr,6,0.0500,0.0139,7.54
Hr,7,0.0242,0.0143,2.15
Hr,8,0.0450,0.0144,6.44
Hr,9,0.0156,0.0146,0.21
Hr,10,0.0208,0.0142,1.39
Hr,11,0.0122,0.0147,-0.51
Hr,12,0.0139,0.0149,-0.20
Hr,13,0.0157,0.0147,0.20
Hr,14,0.0140,0.0138,0.05
Hr,15,0.0210,0.0148,1.33
Hr,16,0.0228,0.0140,1.73
Hr,17,0.0105,0.0150,-0.91
Hr,18,0.0176,0.0150,0.52
Hr,19,0.0212,0.0146,1.31
Hr,20,0.0159,0.0149,0.22
Hr,21,0.0177,0.0139,0.80
Hr,22,0.0160,0.0144,0.30
Hr,23,0.0213,0.0142,1.45
Hr,24,0.0178,0.0146,0.61
Hr,25,0.0178,0.0143,0.69
Hr,26,0.0089,0.0144,-1.01
Hr,27,0.0179,0.0148,0.59
Hr,28,0.0036,0.0141,-2.18
Hr,29,0.0251,0.0144,2.19
Hr,30,0.0126,0.0143,-0.34
Hr,31,0.0108,0.0147,-0.82
Hr,32,0.0054,0.0144,-1.68
Hr,33,0.0108,0.0142,-0.70
Hr,34,0.0163,0.0146,0.33
Hr,35,0.0145,0.0146,-0.01
Hr,36,0.0127,0.0151,-0.46
Hr,37,0.0182,0.0145,0.80
Hr,38,0.0091,0.0143,-1.14
Hr,39,0.0165,0.0146,0.39
Hr,40,0.0092,0.0143,-1.13
Hr,41,0.0092,0.0146,-1.09
Hr,42,0.0165,0.0143,0.47
Hr,43,0.0018,0.0146,-2.57
Hr,44,0.0111,0.0144,-0.68
Hr,45,0.0055,0.0139,-1.68
Hr,46,0.0148,0.0153,-0.09
Hr,47,0.0186,0.0147,0.78
Hr,48,0.0130,0.0144,-0.28
Hr,49,0.0130,0.0143,-0.26
Hr,50,0.0112,0.0141,-0.59
Hr,51,0.0075,0.0148,-1.63
Hr,52,0.0187,0.0143,0.82
Hr,53,0.0169,0.0145,0.44
Hr,54,0.0188,0.0139,1.01
Hr,55,0.0094,0.0146,-1.00
Hr,56,0.0075,0.0144,-1.36
Hr,57,0.0095,0.0143,-0.98
Hr,58,0.0227,0.0143,1.58
Hr,59,0.0095,0.0141,-0.90
Hr,60,0.0095,0.0136,-0.79
Hv,1,0.0713,0.0132,12.88
Hv,2,0.0841,0.0140,15.94
Hv,3,0.0397,0.0131,5.69
Hv,4,0.0350,0.0128,5.31
Hv,5,0.0303,0.0132,3.93
Hv,6,0.0176,0.0134,0.88
Hv,7,0.0256,0.0138,2.39
Hv,8,0.0176,0.0135,0.94
Hv,9,0.0241,0.0139,2.20
Hv,10,0.0113,0.0140,-0.56
Hv,11,0.0258,0.0135,2.60
Hv,12,0.0161,0.0132,0.67
Hv,13,0.0291,0.0132,3.86
Hv,14,0.0113,0.0130,-0.38
Hv,15,0.0146,0.0127,0.40
Hv,16,0.0179,0.0133,1.12
Hv,17,0.0146,0.0137,0.20
Hv,18,0.0098,0.0129,-0.71
Hv,19,0.0082,0.0131,-1.07
Hv,20,0.0180,0.0130,1.07
Hv,21,0.0245,0.0136,2.26
Hv,22,0.0262,0.0133,2.85
Hv,23,0.0197,0.0134,1.36
Hv,24,0.0181,0.0137,0.99
Hv,25,0.0264,0.0132,2.86
Hv,26,0.0231,0.0136,2.16
Hv,27,0.0198,0.0133,1.44
Hv,28,0.0232,0.0137,1.97
Hv,29,0.0166,0.0133,0.75
Hv,30,0.0199,0.0139,1.30
Hv,31,0.0216,0.0131,1.83
Hv,32,0.0200,0.0134,1.45
Hv,33,0.0150,0.0135,0.32
Hv,34,0.0184,0.0138,1.07
Hv,35,0.0084,0.0137,-1.18
Hv,36,0.0201,0.0131,1.50
Hv,37,0.0101,0.0132,-0.66
Hv,38,0.0152,0.0132,0.41
Hv,39,0.0067,0.0136,-1.43
Hv,40,0.0135,0.0133,0.05
Hv,41,0.0102,0.0133,-0.66
Hv,42,0.0169,0.0130,0.95
Hv,43,0.0119,0.0135,-0.36
Hv,44,0.0119,0.0133,-0.33
Hv,45,0.0119,0.0128,-0.20
Hv,46,0.0085,0.0133,-1.04
Hv,47,0.0222,0.0134,1.79
Hv,48,0.0120,0.0135,-0.32
Hv,49,0.0137,0.0128,0.19
Hv,50,0.0206,0.0138,1.45
Hv,51,0.0155,0.0135,0.44
Hv,52,0.0172,0.0139,0.76
Hv,53,0.0173,0.0137,0.81
Hv,54,0.0173,0.0138,0.75
Hv,55,0.0139,0.0135,0.07
Hv,56,0.0104,0.0134,-0.62
Hv,57,0.0052,0.0135,-1.70
Hv,58,0.0226,0.0129,2.28
Hv,59,0.0157,0.0133,0.46
Hv,60,0.0157,0.0128,0.63
Ia,1,0.0297,0.0163,4.35
Ia,2,0.0173,0.0163,0.33
Ia,3,0.0235,0.0161,2.48
Ia,4,0.0248,0.0160,2.86
Ia,5,0.0260,0.0162,3.14
Ia,6,0.0205,0.0161,1.56
Ia,7,0.0136,0.0162,-0.82
Ia,8,0.0180,0.0163,0.58
Ia,9,0.0186,0.0159,0.86
Ia,10,0.0193,0.0160,1.11
Ia,11,0.0267,0.0164,3.85
Ia,12,0.0218,0.0159,1.94
Ia,13,0.0112,0.0161,-1.54
Ia,14,0.0162,0.0160,0.06
Ia,15,0.0206,0.0161,1.38
Ia,16,0.0181,0.0159,0.75
Ia,17,0.0212,0.0161,1.65
Ia,18,0.0212,0.0164,1.66
Ia,19,0.0181,0.0163,0.61
Ia,20,0.0238,0.0161,2.36
Ia,21,0.0175,0.0159,0.53
Ia,22,0.0169,0.0162,0.24
Ia,23,0.0201,0.0162,1.28
Ia,24,0.0157,0.0163,-0.17
Ia,25,0.0213,0.0160,1.77
Ia,26,0.0220,0.0157,2.12
Ia,27,0.0201,0.0159,1.29
Ia,28,0.0163,0.0159,0.15
Ia,29,0.0220,0.0162,1.84
Ia,30,0.0170,0.0160,0.30
Ia,31,0.0202,0.0163,1.19
Ia,32,0.0183,0.0164,0.65
Ia,33,0.0139,0.0163,-0.83
Ia,34,0.0183,0.0162,0.64
Ia,35,0.0240,0.0159,2.52
Ia,36,0.0208,0.0164,1.45
Ia,37,0.0133,0.0159,-0.87
Ia,38,0.0171,0.0163,0.26
Ia,39,0.0184,0.0164,0.59
Ia,40,0.0209,0.0163,1.59
Ia,41,0.0165,0.0160,0.15
Ia,42,0.0159,0.0159,-0.02
Ia,43,0.0127,0.0162,-1.09
Ia,44,0.0146,0.0161,-0.45
Ia,45,0.0184,0.0162,0.75
Ia,46,0.0235,0.0161,2.35
Ia,47,0.0178,0.0159,0.61
Ia,48,0.0159,0.0163,-0.13
Ia,49,0.0191,0.0163,0.89
Ia,50,0.0147,0.0159,-0.39
Ia,51,0.0153,0.0160,-0.24
Ia,52,0.0147,0.0159,-0.39
Ia,53,0.0166,0.0163,0.11
Ia,54,0.0192,0.0161,1.04
Ia,55,0.0198,0.0165,1.01
Ia,56,0.0160,0.0161,-0.04
Ia,57,0.0205,0.0160,1.53
Ia,58,0.0179,0.0164,0.44
Ia,59,0.0154,0.0162,-0.30
Ia,60,0.0154,0.0167,-0.43
Kr,1,0.0123,0.0312,-0.93
Kr,2,0.1500,0.0294,6.98
Kr,3,0.0380,0.0292,0.51
Kr,4,0.1410,0.0304,6.07
Kr,5,0.0519,0.0295,1.17
Kr,6,0.0921,0.0292,3.16
Kr,7,0.0533,0.0287,1.39
Kr,8,0.0946,0.0311,3.49
Kr,9,0.0548,0.0312,1.26
Kr,10,0.0694,0.0288,2.32
Kr,11,0.0563,0.0285,1.44
Kr,12,0.0571,0.0268,1.58
Kr,13,0.0290,0.0294,-0.02
Kr,14,0.0294,0.0277,0.09
Kr,15,0.0299,0.0272,0.14
Kr,16,0.0303,0.0308,-0.02
Kr,17,0.0154,0.0306,-0.79
Kr,18,0.0312,0.0301,0.06
Kr,19,0.0159,0.0296,-0.68
Kr,20,0.0161,0.0272,-0.54
Kr,21,0.0164,0.0280,-0.59
Kr,22,0.0167,0.0285,-0.53
Kr,23,0.0169,0.0292,-0.58
Kr,24,0.0172,0.0281,-0.49
Kr,25,0.0175,0.0296,-0.56
Kr,26,0.0000,0.0283,-1.40
Kr,27,0.0182,0.0265,-0.43
Kr,28,0.0000,0.0290,-1.30
Kr,29,0.0000,0.0286,-1.37
Kr,30,0.0000,0.0312,-1.39
Kr,31,0.0000,0.0296,-1.33
Kr,32,0.0000,0.0285,-1.29
Kr,33,0.0408,0.0317,0.38
Kr,34,0.0417,0.0302,0.48
Kr,35,0.0000,0.0303,-1.33
Kr,36,0.0217,0.0307,-0.35
Kr,37,0.0000,0.0306,-1.19
Kr,38,0.0227,0.0288,-0.23
Kr,39,0.0000,0.0292,-1.24
Kr,40,0.0238,0.0281,-0.18
Kr,41,0.0000,0.0317,-1.26
Kr,42,0.0500,0.0266,1.01
Kr,43,0.0000,0.0305,-1.10
Kr,44,0.0263,0.0266,-0.01
Kr,45,0.0000,0.0296,-1.12
Kr,46,0.0000,0.0283,-1.19
Kr,47,0.0000,0.0310,-1.13
Kr,48,0.0000,0.0232,-0.93
Kr,49,0.0000,0.0315,-1.12
Kr,50,0.0000,0.0314,-1.03
Kr,51,0.0000,0.0290,-0.97
Kr,52,0.0333,0.0288,0.16
Kr,53,0.0000,0.0264,-0.97
Kr,54,0.0000,0.0266,-0.95
Kr,55,0.0000,0.0259,-0.87
Kr,56,0.0000,0.0308,-0.94
Kr,57,0.0000,0.0308,-1.00
Kr,58,0.0000,0.0281,-0.94
Kr,59,0.0000,0.0265,-0.87
Kr,60,0.0455,0.0295,0.42
Kv,1,0.0164,0.0575,-1.57
Kv,2,0.0333,0.0563,-0.80
Kv,3,0.1186,0.0564,2.18
Kv,4,0.0690,0.0553,0.54
Kv,5,0.1053,0.0537,1.79
Kv,6,0.0714,0.0553,0.60
Kv,7,0.0364,0.0513,-0.59
Kv,8,0.0926,0.0581,1.27
Kv,9,0.0566,0.0517,0.19
Kv,10,0.1154,0.0527,2.29
Kv,11,0.0980,0.0590,1.33
Kv,12,0.0000,0.0551,-1.81
Kv,13,0.1429,0.0531,3.13
Kv,14,0.0417,0.0532,-0.44
Kv,15,0.0426,0.0514,-0.33
Kv,16,0.1304,0.0541,2.62
Kv,17,0.0444,0.0518,-0.24
Kv,18,0.0455,0.0523,-0.23
Kv,19,0.1395,0.0526,2.89
Kv,20,0.0238,0.0580,-1.02
Kv,21,0.0732,0.0550,0.55
Kv,22,0.0500,0.0510,-0.03
Kv,23,0.0513,0.0576,-0.19
Kv,24,0.0789,0.0570,0.66
Kv,25,0.0270,0.0524,-0.84
Kv,26,0.0278,0.0547,-0.81
Kv,27,0.0571,0.0526,0.13
Kv,28,0.0000,0.0591,-1.56
Kv,29,0.0909,0.0573,0.97
Kv,30,0.0312,0.0550,-0.62
Kv,31,0.0323,0.0544,-0.65
Kv,32,0.0333,0.0567,-0.61
Kv,33,0.0000,0.0543,-1.51
Kv,34,0.0714,0.0545,0.46
Kv,35,0.0741,0.0531,0.48
Kv,36,0.0769,0.0581,0.45
Kv,37,0.0000,0.0596,-1.45
Kv,38,0.0417,0.0575,-0.36
Kv,39,0.0000,0.0561,-1.24
Kv,40,0.0455,0.0605,-0.32
Kv,41,0.0000,0.0536,-1.11
Kv,42,0.0000,0.0528,-1.04
Kv,43,0.0000,0.0479,-1.06
Kv,44,0.0000,0.0564,-1.15
Kv,45,0.0000,0.0612,-1.15
Kv,46,0.0625,0.0603,0.04
Kv,47,0.0667,0.0557,0.21
Kv,48,0.0000,0.0604,-0.94
Kv,49,0.0000,0.0535,-0.88
Kv,50,0.0000,0.0554,-0.82
Kv,51,0.0000,0.0618,-0.87
Kv,52,0.0000,0.0545,-0.82
Kv,53,0.1111,0.0489,0.93
Kv,54,0.0000,0.0519,-0.65
Kv,55,0.0000,0.0529,-0.62
Kv,56,0.0000,0.0525,-0.60
Kv,57,0.0000,0.0570,-0.59
Kv,58,0.0000,0.0638,-0.53
Kv,59,0.0000,0.0467,-0.40
Kv,60,0.0000,0.0675,-0.37
La,1,0.0698,0.0366,1.28
La,2,0.2143,0.0390,6.53
La,3,0.0244,0.0371,-0.46
La,4,0.0750,0.0369,1.49
La,5,0.0513,0.0369,0.55
La,6,0.0526,0.0364,0.56
La,7,0.0541,0.0377,0.60
La,8,0.0278,0.0382,-0.33
La,9,0.0857,0.0360,1.64
La,10,0.0000,0.0366,-1.13
La,11,0.0606,0.0417,0.56
La,12,0.0000,0.0358,-1.16
La,13,0.0323,0.0395,-0.22
La,14,0.0000,0.0373,-1.13
La,15,0.0000,0.0352,-0.96
La,16,0.0000,0.0375,-1.15
La,17,0.0000,0.0389,-1.11
La,18,0.0000,0.0406,-1.06
La,19,0.0000,0.0358,-1.05
La,20,0.0000,0.0413,-1.07
La,21,0.0000,0.0424,-1.12
La,22,0.0000,0.0398,-1.00
La,23,0.0476,0.0379,0.25
La,24,0.0500,0.0405,0.22
La,25,0.0526,0.0361,0.39
La,26,0.0000,0.0392,-0.91
La,27,0.0588,0.0379,0.44
La,28,0.0000,0.0350,-0.81
La,29,0.0667,0.0330,0.77
La,30,0.0714,0.0346,0.77
La,31,0.0769,0.0312,0.95
La,32,0.0000,0.0442,-0.85
La,33,0.0000,0.0395,-0.66
La,34,0.0000,0.0395,-0.66
La,35,0.0000,0.0383,-0.60
La,36,0.0000,0.0456,-0.63
La,37,0.0000,0.0479,-0.61
La,38,0.0000,0.0383,-0.52
La,39,0.0000,0.0450,-0.48
La,40,0.0000,0.0488,-0.45
La,41,0.0000,0.0467,-0.37
La,42,0.0000,0.0450,-0.30
La,43,0.0000,0.0450,-0.22
La,44,0.0000,0.0000,0.00
La,45,0.0000,0.0000,0.00
La,46,0.0000,0.0000,0.00
La,47,0.0000,0.0000,0.00
La,48,0.0000,0.0000,0.00
La,49,0.0000,0.0000,0.00
La,50,0.0000,0.0000,0.00
La,51,0.0000,0.0000,0.00
La,52,0.0000,0.0000,0.00
La,53,0.0000,0.0000,0.00
La,54,0.0000,0.0000,0.00
La,55,0.0000,0.0000,0.00
La,56,0.0000,0.0000,0.00
La,57,0.0000,0.0000,0.00
La,58,0.0000,0.0000,0.00
La,59,0.0000,0.0000,0.00
La,60,0.0000,0.0000,0.00
Ma,1,0.1277,0.0606,2.09
Ma,2,0.1739,0.0566,3.88
Ma,3,0.0444,0.0563,-0.38
Ma,4,0.0909,0.0533,1.31
Ma,5,0.0233,0.0555,-1.05
Ma,6,0.0476,0.0544,-0.23
Ma,7,0.0244,0.0577,-0.96
Ma,8,0.0000,0.0545,-1.94
Ma,9,0.0000,0.0587,-1.78
Ma,10,0.0263,0.0551,-0.84
Ma,11,0.0270,0.0530,-0.79
Ma,12,0.0278,0.0553,-0.75
Ma,13,0.0571,0.0533,0.11
Ma,14,0.0294,0.0571,-0.70
Ma,15,0.0000,0.0511,-1.47
Ma,16,0.0625,0.0520,0.30
Ma,17,0.0645,0.0556,0.23
Ma,18,0.1000,0.0547,1.20
Ma,19,0.0690,0.0536,0.42
Ma,20,0.0714,0.0545,0.44
Ma,21,0.0000,0.0567,-1.49
Ma,22,0.0000,0.0562,-1.41
Ma,23,0.0000,0.0542,-1.34
Ma,24,0.0417,0.0523,-0.27
Ma,25,0.0435,0.0454,-0.05
Ma,26,0.0000,0.0530,-1.27
Ma,27,0.0476,0.0586,-0.24
Ma,28,0.0000,0.0548,-1.27
Ma,29,0.1053,0.0513,1.23
Ma,30,0.0556,0.0539,0.04
Ma,31,0.1765,0.0571,2.30
Ma,32,0.1250,0.0550,1.24
Ma,33,0.1333,0.0593,1.27
Ma,34,0.1429,0.0636,1.39
Ma,35,0.1538,0.0642,1.38
Ma,36,0.1667,0.0496,1.99
Ma,37,0.0909,0.0459,0.79
Ma,38,0.1000,0.0455,0.86
Ma,39,0.0000,0.0583,-0.84
Ma,40,0.0000,0.0563,-0.69
Ma,41,0.0000,0.0536,-0.66
Ma,42,0.0000,0.0608,-0.66
Ma,43,0.0000,0.0420,-0.47
Ma,44,0.0000,0.0675,-0.54
Ma,45,0.0000,0.0367,-0.33
Ma,46,0.0000,0.0325,-0.26
Ma,47,0.0000,0.0450,-0.22
Ma,48,0.0000,0.0000,0.00
Ma,49,0.0000,0.0000,0.00
Ma,50,0.0000,0.0000,0.00
Ma,51,0.0000,0.0000,0.00
Ma,52,0.0000,0.0000,0.00
Ma,53,0.0000,0.0000,0.00
Ma,54,0.0000,0.0000,0.00
Ma,55,0.0000,0.0000,0.00
Ma,56,0.0000,0.0000,0.00
Ma,57,0.0000,0.0000,0.00
Ma,58,0.0000,0.0000,0.00
Ma,59,0.0000,0.0000,0.00
Ma,60,0.0000,0.0000,0.00
Na,1,0.0312,0.0355,-0.25
Na,2,0.1789,0.0395,7.14
Na,3,0.0532,0.0385,0.76
Na,4,0.1183,0.0402,4.29
Na,5,0.0652,0.0382,1.34
Na,6,0.0879,0.0395,2.13
Na,7,0.0778,0.0382,2.01
Na,8,0.0562,0.0393,0.92
Na,9,0.0227,0.0424,-0.98
Na,10,0.0920,0.0410,2.37
Na,11,0.0233,0.0407,-0.89
Na,12,0.0235,0.0417,-0.91
Na,13,0.0238,0.0392,-0.81
Na,14,0.0120,0.0382,-1.32
Na,15,0.0366,0.0371,-0.03
Na,16,0.0247,0.0433,-0.87
Na,17,0.0500,0.0421,0.42
Na,18,0.0380,0.0375,0.03
Na,19,0.0128,0.0380,-1.35
Na,20,0.0390,0.0349,0.21
Na,21,0.0132,0.0392,-1.22
Na,22,0.0400,0.0409,-0.05
Na,23,0.0270,0.0382,-0.50
Na,24,0.0548,0.0387,0.76
Na,25,0.0278,0.0422,-0.62
Na,26,0.0423,0.0404,0.09
Na,27,0.0286,0.0391,-0.52
Na,28,0.0290,0.0395,-0.48
Na,29,0.0147,0.0390,-1.07
Na,30,0.0000,0.0427,-1.79
Na,31,0.0303,0.0358,-0.28
Na,32,0.0615,0.0407,0.90
Na,33,0.0312,0.0420,-0.48
Na,34,0.0476,0.0410,0.30
Na,35,0.0484,0.0400,0.35
Na,36,0.0328,0.0354,-0.11
Na,37,0.0333,0.0412,-0.32
Na,38,0.0678,0.0402,1.07
Na,39,0.0345,0.0381,-0.16
Na,40,0.0175,0.0388,-0.87
Na,41,0.0179,0.0407,-0.88
Na,42,0.0545,0.0378,0.70
Na,43,0.0370,0.0393,-0.10
Na,44,0.0377,0.0408,-0.12
Na,45,0.0769,0.0376,1.57
Na,46,0.0392,0.0413,-0.07
Na,47,0.0200,0.0400,-0.68
Na,48,0.0816,0.0347,1.88
Na,49,0.0417,0.0417,-0.00
Na,50,0.0426,0.0357,0.25
Na,51,0.0217,0.0389,-0.61
Na,52,0.0222,0.0386,-0.61
Na,53,0.0227,0.0405,-0.65
Na,54,0.0000,0.0428,-1.46
Na,55,0.0476,0.0394,0.29
Na,56,0.0244,0.0362,-0.42
Na,57,0.0000,0.0391,-1.28
Na,58,0.0000,0.0383,-1.33
Na,59,0.0263,0.0346,-0.28
Na,60,0.0270,0.0358,-0.30
Nb,1,0.0469,0.0180,1.68
Nb,2,0.1270,0.0179,6.86
Nb,3,0.0806,0.0169,3.84
Nb,4,0.0328,0.0177,0.90
Nb,5,0.0000,0.0183,-1.12
Nb,6,0.0339,0.0197,0.81
Nb,7,0.0000,0.0177,-1.01
Nb,8,0.0175,0.0178,-0.02
Nb,9,0.0000,0.0179,-1.04
Nb,10,0.0000,0.0195,-1.05
Nb,11,0.0370,0.0187,0.98
Nb,12,0.0000,0.0171,-0.94
Nb,13,0.0385,0.0169,1.28
Nb,14,0.0000,0.0192,-1.08
Nb,15,0.0200,0.0156,0.26
Nb,16,0.0000,0.0200,-1.02
Nb,17,0.0000,0.0182,-1.01
Nb,18,0.0000,0.0180,-0.98
Nb,19,0.0000,0.0187,-0.98
Nb,20,0.0222,0.0168,0.29
Nb,21,0.0000,0.0190,-0.88
Nb,22,0.0233,0.0192,0.19
Nb,23,0.0238,0.0165,0.37
Nb,24,0.0244,0.0168,0.41
Nb,25,0.0250,0.0181,0.32
Nb,26,0.0256,0.0182,0.35
Nb,27,0.0000,0.0183,-0.82
Nb,28,0.0270,0.0173,0.46
Nb,29,0.0000,0.0169,-0.82
Nb,30,0.0286,0.0196,0.36
Nb,31,0.0000,0.0149,-0.79
Nb,32,0.0000,0.0185,-0.77
Nb,33,0.0000,0.0163,-0.75
Nb,34,0.0323,0.0202,0.53
Nb,35,0.0000,0.0170,-0.82
Nb,36,0.0345,0.0188,0.57
Nb,37,0.0000,0.0164,-0.68
Nb,38,0.0000,0.0141,-0.65
Nb,39,0.0000,0.0165,-0.68
Nb,40,0.0000,0.0168,-0.62
Nb,41,0.0000,0.0181,-0.73
Nb,42,0.0000,0.0196,-0.68
Nb,43,0.0000,0.0159,-0.62
Nb,44,0.0000,0.0176,-0.62
Nb,45,0.0000,0.0143,-0.52
Nb,46,0.0526,0.0195,1.08
Nb,47,0.0000,0.0172,-0.57
Nb,48,0.0000,0.0153,-0.52
Nb,49,0.0000,0.0197,-0.57
Nb,50,0.0000,0.0157,-0.51
Nb,51,0.0000,0.0211,-0.52
Nb,52,0.0000,0.0177,-0.51
Nb,53,0.0000,0.0192,-0.46
Nb,54,0.0000,0.0123,-0.35
Nb,55,0.0000,0.0150,-0.42
Nb,56,0.0000,0.0222,-0.47
Nb,57,0.0000,0.0112,-0.30
Nb,58,0.0000,0.0214,-0.39
Nb,59,0.0000,0.0192,-0.36
Nb,60,0.0000,0.0150,-0.27
Oa,1,0.1039,0.0232,5.27
Oa,2,0.0395,0.0234,1.00
Oa,3,0.0133,0.0250,-0.65
Oa,4,0.0000,0.0199,-1.27
Oa,5,0.0274,0.0237,0.23
Oa,6,0.0000,0.0221,-1.37
Oa,7,0.0282,0.0209,0.44
Oa,8,0.0286,0.0216,0.40
Oa,9,0.0580,0.0201,2.42
Oa,10,0.0294,0.0224,0.42
Oa,11,0.0149,0.0213,-0.38
Oa,12,0.0303,0.0207,0.59
Oa,13,0.0154,0.0230,-0.43
Oa,14,0.0156,0.0213,-0.31
Oa,15,0.0159,0.0239,-0.44
Oa,16,0.0000,0.0199,-1.08
Oa,17,0.0000,0.0213,-1.20
Oa,18,0.0333,0.0217,0.64
Oa,19,0.0169,0.0226,-0.30
Oa,20,0.0517,0.0219,1.72
Oa,21,0.0351,0.0217,0.70
Oa,22,0.0536,0.0236,1.58
Oa,23,0.0000,0.0233,-1.11
Oa,24,0.0000,0.0217,-1.08
Oa,25,0.0000,0.0225,-1.14
Oa,26,0.0192,0.0231,-0.19
Oa,27,0.0196,0.0191,0.03
Oa,28,0.0200,0.0212,-0.06
Oa,29,0.0204,0.0203,0.01
Oa,30,0.0000,0.0222,-1.11
Oa,31,0.0213,0.0210,0.02
Oa,32,0.0000,0.0213,-0.93
Oa,33,0.0000,0.0206,-1.02
Oa,34,0.0227,0.0211,0.07
Oa,35,0.0233,0.0244,-0.05
Oa,36,0.0238,0.0214,0.10
Oa,37,0.0000,0.0212,-0.98
Oa,38,0.0000,0.0200,-0.89
Oa,39,0.0256,0.0222,0.15
Oa,40,0.0263,0.0241,0.10
Oa,41,0.0000,0.0219,-0.91
Oa,42,0.0278,0.0226,0.21
Oa,43,0.0000,0.0243,-0.93
Oa,44,0.0294,0.0216,0.34
Oa,45,0.0000,0.0244,-0.96
Oa,46,0.0000,0.0234,-0.87
Oa,47,0.0323,0.0239,0.32
Oa,48,0.0000,0.0172,-0.79
Oa,49,0.0690,0.0214,1.63
Oa,50,0.0000,0.0246,-0.83
Oa,51,0.0000,0.0231,-0.83
Oa,52,0.0000,0.0206,-0.79
Oa,53,0.0400,0.0194,0.79
Oa,54,0.0000,0.0229,-0.75
Oa,55,0.0435,0.0230,0.71
Oa,56,0.0000,0.0227,-0.73
Oa,57,0.0000,0.0236,-0.74
Oa,58,0.0000,0.0235,-0.75
Oa,59,0.0526,0.0247,0.79
Oa,60,0.0556,0.0206,1.09
Pr,1,0.0596,0.0138,9.89
Pr,2,0.0547,0.0147,8.80
Pr,3,0.0399,0.0138,5.98
Pr,4,0.0765,0.0138,13.90
Pr,5,0.0250,0.0140,2.50
Pr,6,0.0451,0.0134,6.52
Pr,7,0.0268,0.0141,2.87
Pr,8,0.0402,0.0136,5.55
Pr,9,0.0185,0.0139,1.02
Pr,10,0.0202,0.0138,1.34
Pr,11,0.0236,0.0136,2.30
Pr,12,0.0253,0.0140,2.36
Pr,13,0.0253,0.0138,2.52
Pr,14,0.0254,0.0141,2.46
Pr,15,0.0203,0.0141,1.34
Pr,16,0.0221,0.0137,1.84
Pr,17,0.0136,0.0145,-0.18
Pr,18,0.0136,0.0136,0.00
Pr,19,0.0256,0.0142,2.49
Pr,20,0.0171,0.0139,0.70
Pr,21,0.0240,0.0142,2.20
Pr,22,0.0069,0.0135,-1.40
Pr,23,0.0189,0.0140,1.06
Pr,24,0.0120,0.0142,-0.45
Pr,25,0.0190,0.0139,1.05
Pr,26,0.0104,0.0137,-0.69
Pr,27,0.0225,0.0144,1.64
Pr,28,0.0191,0.0134,1.32
Pr,29,0.0156,0.0140,0.35
Pr,30,0.0104,0.0141,-0.75
Pr,31,0.0192,0.0135,1.18
Pr,32,0.0209,0.0134,1.52
Pr,33,0.0140,0.0139,0.01
Pr,34,0.0070,0.0144,-1.54
Pr,35,0.0105,0.0139,-0.66
Pr,36,0.0088,0.0138,-1.09
Pr,37,0.0088,0.0143,-1.13
Pr,38,0.0194,0.0137,1.09
Pr,39,0.0106,0.0142,-0.82
Pr,40,0.0035,0.0140,-2.30
Pr,41,0.0160,0.0142,0.37
Pr,42,0.0107,0.0136,-0.58
Pr,43,0.0125,0.0136,-0.26
Pr,44,0.0107,0.0137,-0.61
Pr,45,0.0161,0.0142,0.41
Pr,46,0.0143,0.0136,0.16
Pr,47,0.0090,0.0145,-1.09
Pr,48,0.0126,0.0141,-0.31
Pr,49,0.0090,0.0135,-0.95
Pr,50,0.0090,0.0142,-1.10
Pr,51,0.0108,0.0143,-0.71
Pr,52,0.0090,0.0137,-0.97
Pr,53,0.0181,0.0140,0.85
Pr,54,0.0163,0.0137,0.51
Pr,55,0.0164,0.0134,0.65
Pr,56,0.0055,0.0140,-1.79
Pr,57,0.0164,0.0136,0.59
Pr,58,0.0055,0.0147,-1.80
Pr,59,0.0183,0.0134,1.06
Pr,60,0.0128,0.0139,-0.20
Pv,1,0.0667,0.0126,12.24
Pv,2,0.0812,0.0131,14.71
Pv,3,0.0434,0.0120,6.42
Pv,4,0.0145,0.0126,0.42
Pv,5,0.0200,0.0121,1.78
Pv,6,0.0182,0.0123,1.19
