side,lag,observed,shuffled_mean,z
Cb,46,0.0126,0.0216,-1.20
Cb,47,0.0095,0.0211,-1.50
Cb,48,0.0317,0.0207,1.46
Cb,49,0.0127,0.0209,-1.03
Cb,50,0.0160,0.0214,-0.66
Cb,51,0.0192,0.0205,-0.19
Cb,52,0.0161,0.0221,-0.71
Cb,53,0.0226,0.0212,0.17
Cb,54,0.0129,0.0211,-1.05
Cb,55,0.0227,0.0220,0.09
Cb,56,0.0130,0.0199,-0.92
Cb,57,0.0033,0.0210,-2.35
Cb,58,0.0197,0.0202,-0.07
Cb,59,0.0164,0.0208,-0.51
Cb,60,0.0198,0.0220,-0.30
Da,1,0.0476,0.0228,1.68
Da,2,0.0288,0.0235,0.39
Da,3,0.0971,0.0244,4.81
Da,4,0.0490,0.0223,1.89
Da,5,0.0396,0.0240,1.05
Da,6,0.0700,0.0255,2.98
Da,7,0.0202,0.0255,-0.33
Da,8,0.0816,0.0233,3.77
Da,9,0.0309,0.0238,0.52
Da,10,0.0000,0.0229,-1.52
Da,11,0.0421,0.0246,1.20
Da,12,0.0319,0.0247,0.48
Da,13,0.0000,0.0237,-1.58
Da,14,0.0326,0.0258,0.47
Da,15,0.0220,0.0234,-0.09
Da,16,0.0222,0.0224,-0.01
Da,17,0.0112,0.0231,-0.76
Da,18,0.0114,0.0241,-0.79
Da,19,0.0460,0.0230,1.48
Da,20,0.0233,0.0226,0.04
Da,21,0.0235,0.0231,0.03
Da,22,0.0119,0.0236,-0.78
Da,23,0.0241,0.0222,0.13
Da,24,0.0122,0.0248,-0.74
Da,25,0.0247,0.0252,-0.03
Da,26,0.0250,0.0231,0.11
Da,27,0.0253,0.0233,0.13
Da,28,0.0128,0.0238,-0.70
Da,29,0.0130,0.0253,-0.73
Da,30,0.0000,0.0260,-1.65
Da,31,0.0000,0.0236,-1.36
Da,32,0.0135,0.0254,-0.71
Da,33,0.0137,0.0247,-0.59
Da,34,0.0000,0.0222,-1.45
Da,35,0.0141,0.0252,-0.58
Da,36,0.0143,0.0226,-0.49
Da,37,0.0290,0.0246,0.24
Da,38,0.0147,0.0231,-0.47
Da,39,0.0448,0.0252,1.02
Da,40,0.0152,0.0236,-0.48
Da,41,0.0308,0.0253,0.33
Da,42,0.0469,0.0235,1.15
Da,43,0.0635,0.0231,2.33
Da,44,0.0161,0.0212,-0.28
Da,45,0.0164,0.0233,-0.36
Da,46,0.0333,0.0252,0.42
Da,47,0.0508,0.0210,1.58
Da,48,0.0172,0.0239,-0.34
Da,49,0.0175,0.0250,-0.38
Da,50,0.0000,0.0240,-1.24
Da,51,0.0182,0.0217,-0.19
Da,52,0.0185,0.0211,-0.13
Da,53,0.0000,0.0234,-1.21
Da,54,0.0000,0.0230,-1.25
Da,55,0.0392,0.0246,0.65
Da,56,0.0200,0.0254,-0.28
Da,57,0.0000,0.0247,-1.06
Da,58,0.0208,0.0250,-0.19
